trip_id,start_time,end_time,headway_secs,exact_times
WvIXAwhH_22_00,06:00:00,23:00:00,3600,0
WvIXAwhH_23_00,06:00:00,23:00:00,3600,0
ncxsZEFl_06_00,06:00:00,23:00:00,3600,0
ncxsZEFl_07_00,06:00:00,23:00:00,3600,0
ncxsZEFl_08_00,06:00:00,23:00:00,3600,0
ncxsZEFl_09_00,06:00:00,23:00:00,3600,0
ncxsZEFl_10_00,06:00:00,23:00:00,3600,0
ncxsZEFl_11_00,06:00:00,23:00:00,3600,0
ncxsZEFl_12_00,06:00:00,23:00:00,3600,0
ncxsZEFl_13_00,06:00:00,23:00:00,3600,0
ncxsZEFl_14_00,06:00:00,23:00:00,3600,0
ncxsZEFl_15_00,06:00:00,23:00:00,3600,0
ncxsZEFl_16_00,06:00:00,23:00:00,3600,0
ncxsZEFl_17_00,06:00:00,23:00:00,3600,0
ncxsZEFl_18_00,06:00:00,23:00:00,3600,0
ncxsZEFl_19_00,06:00:00,23:00:00,3600,0
ncxsZEFl_20_00,06:00:00,23:00:00,3600,0
ncxsZEFl_21_00,06:00:00,23:00:00,3600,0
ncxsZEFl_22_00,06:00:00,23:00:00,3600,0
ncxsZEFl_23_00,06:00:00,23:00:00,3600,0
VNcniYQu_06_00,06:00:00,23:00:00,3600,0
VNcniYQu_07_00,06:00:00,23:00:00,3600,0
VNcniYQu_08_00,06:00:00,23:00:00,3600,0
VNcniYQu_09_00,06:00:00,23:00:00,3600,0
VNcniYQu_10_00,06:00:00,23:00:00,3600,0
VNcniYQu_11_00,06:00:00,23:00:00,3600,0
VNcniYQu_12_00,06:00:00,23:00:00,3600,0
VNcniYQu_13_00,06:00:00,23:00:00,3600,0
VNcniYQu_14_00,06:00:00,23:00:00,3600,0
VNcniYQu_15_00,06:00:00,23:00:00,3600,0
VNcniYQu_16_00,06:00:00,23:00:00,3600,0
VNcniYQu_17_00,06:00:00,23:00:00,3600,0
VNcniYQu_18_00,06:00:00,23:00:00,3600,0
VNcniYQu_19_00,06:00:00,23:00:00,3600,0
VNcniYQu_20_00,06:00:00,23:00:00,3600,0
VNcniYQu_21_00,06:00:00,23:00:00,3600,0
VNcniYQu_22_00,06:00:00,23:00:00,3600,0
VNcniYQu_23_00,06:00:00,23:00:00,3600,0
QWZsxjik_06_00,06:00:00,23:00:00,3600,0
QWZsxjik_07_00,06:00:00,23:00:00,3600,0
QWZsxjik_08_00,06:00:00,23:00:00,3600,0
QWZsxjik_09_00,06:00:00,23:00:00,3600,0
QWZsxjik_10_00,06:00:00,23:00:00,3600,0
QWZsxjik_11_00,06:00:00,23:00:00,3600,0
QWZsxjik_12_00,06:00:00,23:00:00,3600,0
QWZsxjik_13_00,06:00:00,23:00:00,3600,0
QWZsxjik_14_00,06:00:00,23:00:00,3600,0
QWZsxjik_15_00,06:00:00,23:00:00,3600,0
QWZsxjik_16_00,06:00:00,23:00:00,3600,0
QWZsxjik_17_00,06:00:00,23:00:00,3600,0
QWZsxjik_18_00,06:00:00,23:00:00,3600,0
QWZsxjik_19_00,06:00:00,23:00:00,3600,0
QWZsxjik_20_00,06:00:00,23:00:00,3600,0
QWZsxjik_21_00,06:00:00,23:00:00,3600,0
QWZsxjik_22_00,06:00:00,23:00:00,3600,0
QWZsxjik_23_00,06:00:00,23:00:00,3600,0
SRIdKEam_06_00,06:00:00,23:00:00,3600,0
SRIdKEam_07_00,06:00:00,23:00:00,3600,0
SRIdKEam_08_00,06:00:00,23:00:00,3600,0
SRIdKEam_09_00,06:00:00,23:00:00,3600,0
SRIdKEam_10_00,06:00:00,23:00:00,3600,0
SRIdKEam_11_00,06:00:00,23:00:00,3600,0
SRIdKEam_12_00,06:00:00,23:00:00,3600,0
SRIdKEam_13_00,06:00:00,23:00:00,3600,0
SRIdKEam_14_00,06:00:00,23:00:00,3600,0
SRIdKEam_15_00,06:00:00,23:00:00,3600,0
SRIdKEam_16_00,06:00:00,23:00:00,3600,0
SRIdKEam_17_00,06:00:00,23:00:00,3600,0
SRIdKEam_18_00,06:00:00,23:00:00,3600,0
SRIdKEam_19_00,06:00:00,23:00:00,3600,0
SRIdKEam_20_00,06:00:00,23:00:00,3600,0
SRIdKEam_21_00,06:00:00,23:00:00,3600,0
SRIdKEam_22_00,06:00:00,23:00:00,3600,0
SRIdKEam_23_00,06:00:00,23:00:00,3600,0
rJKVlkXh_06_00,06:00:00,23:00:00,3600,0
rJKVlkXh_07_00,06:00:00,23:00:00,3600,0
rJKVlkXh_08_00,06:00:00,23:00:00,3600,0
rJKVlkXh_09_00,06:00:00,23:00:00,3600,0
rJKVlkXh_10_00,06:00:00,23:00:00,3600,0
rJKVlkXh_11_00,06:00:00,23:00:00,3600,0
rJKVlkXh_12_00,06:00:00,23:00:00,3600,0
rJKVlkXh_13_00,06:00:00,23:00:00,3600,0
rJKVlkXh_14_00,06:00:00,23:00:00,3600,0
rJKVlkXh_15_00,06:00:00,23:00:00,3600,0
rJKVlkXh_16_00,06:00:00,23:00:00,3600,0
rJKVlkXh_17_00,06:00:00,23:00:00,3600,0
rJKVlkXh_18_00,06:00:00,23:00:00,3600,0
rJKVlkXh_19_00,06:00:00,23:00:00,3600,0
rJKVlkXh_20_00,06:00:00,23:00:00,3600,0
rJKVlkXh_21_00,06:00:00,23:00:00,3600,0
rJKVlkXh_22_00,06:00:00,23:00:00,3600,0
rJKVlkXh_23_00,06:00:00,23:00:00,3600,0
DEqJBNdR_06_00,06:00:00,23:00:00,3600,0
DEqJBNdR_07_00,06:00:00,23:00:00,3600,0
DEqJBNdR_08_00,06:00:00,23:00:00,3600,0
DEqJBNdR_09_00,06:00:00,23:00:00,3600,0
DEqJBNdR_10_00,06:00:00,23:00:00,3600,0
DEqJBNdR_11_00,06:00:00,23:00:00,3600,0
DEqJBNdR_12_00,06:00:00,23:00:00,3600,0
DEqJBNdR_13_00,06:00:00,23:00:00,3600,0
DEqJBNdR_14_00,06:00:00,23:00:00,3600,0
DEqJBNdR_15_00,06:00:00,23:00:00,3600,0
DEqJBNdR_16_00,06:00:00,23:00:00,3600,0
DEqJBNdR_17_00,06:00:00,23:00:00,3600,0
DEqJBNdR_18_00,06:00:00,23:00:00,3600,0
DEqJBNdR_19_00,06:00:00,23:00:00,3600,0
DEqJBNdR_20_00,06:00:00,23:00:00,3600,0
DEqJBNdR_21_00,06:00:00,23:00:00,3600,0
DEqJBNdR_22_00,06:00:00,23:00:00,3600,0
DEqJBNdR_23_00,06:00:00,23:00:00,3600,0
TznMsdvp_06_00,06:00:00,23:00:00,3600,0
TznMsdvp_07_00,06:00:00,23:00:00,3600,0
TznMsdvp_08_00,06:00:00,23:00:00,3600,0
TznMsdvp_09_00,06:00:00,23:00:00,3600,0
TznMsdvp_10_00,06:00:00,23:00:00,3600,0
TznMsdvp_11_00,06:00:00,23:00:00,3600,0
TznMsdvp_12_00,06:00:00,23:00:00,3600,0
TznMsdvp_13_00,06:00:00,23:00:00,3600,0
TznMsdvp_14_00,06:00:00,23:00:00,3600,0
TznMsdvp_15_00,06:00:00,23:00:00,3600,0
TznMsdvp_16_00,06:00:00,23:00:00,3600,0
TznMsdvp_17_00,06:00:00,23:00:00,3600,0
TznMsdvp_18_00,06:00:00,23:00:00,3600,0
TznMsdvp_19_00,06:00:00,23:00:00,3600,0
TznMsdvp_20_00,06:00:00,23:00:00,3600,0
TznMsdvp_21_00,06:00:00,23:00:00,3600,0
TznMsdvp_22_00,06:00:00,23:00:00,3600,0
TznMsdvp_23_00,06:00:00,23:00:00,3600,0
FuiNPJgX_06_00,06:00:00,23:00:00,3600,0
FuiNPJgX_07_00,06:00:00,23:00:00,3600,0
FuiNPJgX_08_00,06:00:00,23:00:00,3600,0
FuiNPJgX_09_00,06:00:00,23:00:00,3600,0
FuiNPJgX_10_00,06:00:00,23:00:00,3600,0
FuiNPJgX_11_00,06:00:00,23:00:00,3600,0
FuiNPJgX_12_00,06:00:00,23:00:00,3600,0
FuiNPJgX_13_00,06:00:00,23:00:00,3600,0
FuiNPJgX_14_00,06:00:00,23:00:00,3600,0
FuiNPJgX_15_00,06:00:00,23:00:00,3600,0
FuiNPJgX_16_00,06:00:00,23:00:00,3600,0
FuiNPJgX_17_00,06:00:00,23:00:00,3600,0
FuiNPJgX_18_00,06:00:00,23:00:00,3600,0
FuiNPJgX_19_00,06:00:00,23:00:00,3600,0
FuiNPJgX_20_00,06:00:00,23:00:00,3600,0
FuiNPJgX_21_00,06:00:00,23:00:00,3600,0
FuiNPJgX_22_00,06:00:00,23:00:00,3600,0
FuiNPJgX_23_00,06:00:00,23:00:00,3600,0
pWepmxeL_06_00,06:00:00,23:00:00,3600,0
pWepmxeL_07_00,06:00:00,23:00:00,3600,0
pWepmxeL_08_00,06:00:00,23:00:00,3600,0
pWepmxeL_09_00,06:00:00,23:00:00,3600,0
pWepmxeL_10_00,06:00:00,23:00:00,3600,0
pWepmxeL_11_00,06:00:00,23:00:00,3600,0
pWepmxeL_12_00,06:00:00,23:00:00,3600,0
pWepmxeL_13_00,06:00:00,23:00:00,3600,0
pWepmxeL_14_00,06:00:00,23:00:00,3600,0
pWepmxeL_15_00,06:00:00,23:00:00,3600,0
