route_id,service_id,trip_id,trip_headsign,shape_id
24217,WD,WD241302,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171303,St.Thomas Mount,sh7
24217,WD,WD241304,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171305,St.Thomas Mount,sh7
24217,WD,WD241306,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171307,St.Thomas Mount,sh7
24217,WD,WD241308,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171309,St.Thomas Mount,sh7
24217,WD,WD241310,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171311,St.Thomas Mount,sh7
24217,WD,WD241312,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171313,St.Thomas Mount,sh7
24217,WD,WD241314,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171315,St.Thomas Mount,sh7
24217,WD,WD241316,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171317,St.Thomas Mount,sh7
01101,WD,WD011401,Airport,sh11
86117,WD,WD861402,Washermenpet Metro,sh12
01101,WD,WD011403,Airport,sh11
86117,WD,WD861404,Washermenpet Metro,sh12
01101,WD,WD011405,Airport,sh11
86117,WD,WD861406,Washermenpet Metro,sh12
01101,WD,WD011407,Airport,sh11
86117,WD,WD861408,Washermenpet Metro,sh12
01101,WD,WD011409,Airport,sh11
86117,WD,WD861410,Washermenpet Metro,sh12
01101,WD,WD011411,Airport,sh11
86117,WD,WD861412,Washermenpet Metro,sh12
01101,WD,WD011413,Airport,sh11
86117,WD,WD861414,Washermenpet Metro,sh12
01101,WD,WD011415,Airport,sh11
86117,WD,WD861416,Washermenpet Metro,sh12
01101,WD,WD011417,Airport,sh11
86117,WD,WD861418,Washermenpet Metro,sh12
01101,WD,WD011419,Airport,sh11
86117,WD,WD861501,Washermenpet Metro,sh12
01101,WD,WD011502,Airport,sh11
86117,WD,WD861503,Washermenpet Metro,sh12
01101,WD,WD011504,Airport,sh11
86117,WD,WD861505,Washermenpet Metro,sh12
01101,WD,WD011506,Airport,sh11
86117,WD,WD861507,Washermenpet Metro,sh12
01101,WD,WD011508,Airport,sh11
86117,WD,WD861509,Washermenpet Metro,sh12
01101,WD,WD011510,Airport,sh11
86117,WD,WD861511,Washermenpet Metro,sh12
01101,WD,WD011512,Airport,sh11
86117,WD,WD861513,Washermenpet Metro,sh12
01101,WD,WD011514,Airport,sh11
86117,WD,WD861515,Washermenpet Metro,sh12
01101,WD,WD011516,Airport,sh11
86117,WD,WD861517,Washermenpet Metro,sh12
02201,WD,WD021601,Airport,sh13
23117,WD,WD231602,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021603,Airport,sh13
23117,WD,WD231604,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021605,Airport,sh13
23117,WD,WD231606,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021607,Airport,sh13
23117,WD,WD231608,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021609,Airport,sh13
23117,WD,WD231610,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021611,Airport,sh13
23117,WD,WD231612,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021613,Airport,sh13
23117,WD,WD231614,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021615,Airport,sh13
23117,WD,WD231616,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh14
02201,WD,WD021617,Airport,sh13
01101,WD,WD011701,Airport,sh11
86117,WD,WD861702,Washermenpet Metro,sh12
01101,WD,WD011703,Airport,sh11
86117,WD,WD861704,Washermenpet Metro,sh12
01101,WD,WD011705,Airport,sh11
86117,WD,WD861706,Washermenpet Metro,sh12
01101,WD,WD011707,Airport,sh11
86117,WD,WD861708,Washermenpet Metro,sh12
01101,WD,WD011709,Airport,sh11
86117,WD,WD861710,Washermenpet Metro,sh12
01101,WD,WD011711,Airport,sh11
86117,WD,WD861712,Washermenpet Metro,sh12
01101,WD,WD011713,Airport,sh11
86117,WD,WD861714,Washermenpet Metro,sh12
01101,WD,WD011715,Airport,sh11
86117,WD,WD861716,Washermenpet Metro,sh12
01101,WD,WD011717,Airport,sh11
86117,WD,WD861718,Washermenpet Metro,sh12
24217,WD,WD241801,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171802,St.Thomas Mount,sh7
24217,WD,WD241803,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
17201,WD,WD171804,St.Thomas Mount,sh7
24217,WD,WD241805,Puratchi Thalaivar Dr.M.G.Ramachandran Central,sh8
86117,WD,WD861901,Washermenpet Metro,sh12
01101,WD,WD011902,Airport,sh11
86117,WD,WD861903,Washermenpet Metro,sh12
01101,WD,WD011904,Airport,sh11
86117,WD,WD861905,Washermenpet Metro,sh12
01101,WD,WD011906,Airport,sh11
86117,WD,WD861907,Washermenpet Metro,sh12
01101,WD,WD011908,Airport,sh11
86117,WD,WD861909,Washermenpet Metro,sh12
01101,WD,WD011910,Airport,sh11
86117,WD,WD861911,Washermenpet Metro,sh12
01101,WD,WD011912,Airport,sh11
86117,WD,WD861913,Washermenpet Metro,sh12
01101,WD,WD011914,Airport,sh11
86117,WD,WD861915,Washermenpet Metro,sh12
01101,WD,WD011916,Airport,sh11
