fare_id,route_id,origin_id,destination_id
F5,,SKO,SLI
F4,,STI,SLI
F4,,SAT,SLI
F4,,SAE,SLI
F4,,SSN,SLI
F4,,SPC,SLI
F4,,SKM,SLI
F3,,SNP,SLI
F3,,SEG,SLI
F4,,SMM,SLI
F5,,SAP,SGE
F5,,SME,SGE
F5,,SOT,SGE
F4,,SAL,SGE
F4,,SGU,SGE
F4,,SLM,SGE
F4,,SSA,SGE
F3,,SCR,SGE
F3,,STE,SGE
F2,,SGM,SGE
F1,,STL,SGE
F1,,SLI,SGE
F0,,SGE,SGE
F1,,SCC,SGE
F2,,SHC,SGE
F3,,SMA,SGE
F3,,SWA,SGE
F5,,SSI,SGE
F5,,SAN,SGE
F5,,SVA,SGE
F5,,SAR,SGE
F5,,SCM,SGE
F5,,SKO,SGE
F4,,STI,SGE
F4,,SAT,SGE
F4,,SAE,SGE
F4,,SSN,SGE
F4,,SPC,SGE
F3,,SKM,SGE
F3,,SNP,SGE
F2,,SEG,SGE
F5,,SMM,SGE
F5,,SAP,SCC
F5,,SME,SCC
F5,,SOT,SCC
F5,,SAL,SCC
F4,,SGU,SCC
F4,,SLM,SCC
F4,,SSA,SCC
F4,,SCR,SCC
F4,,STE,SCC
F3,,SGM,SCC
F2,,STL,SCC
F2,,SLI,SCC
F1,,SGE,SCC
F0,,SCC,SCC
F1,,SHC,SCC
F2,,SMA,SCC
F2,,SWA,SCC
F5,,SSI,SCC
F5,,SAN,SCC
F5,,SVA,SCC
F5,,SAR,SCC
F4,,SCM,SCC
F4,,SKO,SCC
F4,,STI,SCC
F4,,SAT,SCC
F4,,SAE,SCC
F3,,SSN,SCC
F3,,SPC,SCC
F2,,SKM,SCC
F2,,SNP,SCC
F1,,SEG,SCC
F5,,SMM,SCC
F6,,SAP,SHC
F5,,SME,SHC
F5,,SOT,SHC
F5,,SAL,SHC
F5,,SGU,SHC
F4,,SLM,SHC
F4,,SSA,SHC
F4,,SCR,SHC
F4,,STE,SHC
F4,,SGM,SHC
F3,,STL,SHC
F3,,SLI,SHC
F2,,SGE,SHC
F1,,SCC,SHC
F0,,SHC,SHC
F1,,SMA,SHC
F2,,SWA,SHC
F5,,SSI,SHC
F5,,SAN,SHC
F5,,SVA,SHC
F5,,SAR,SHC
F5,,SCM,SHC
F5,,SKO,SHC
F4,,STI,SHC
F4,,SAT,SHC
F4,,SAE,SHC
F4,,SSN,SHC
F3,,SPC,SHC
F3,,SKM,SHC
F3,,SNP,SHC
F2,,SEG,SHC
F5,,SMM,SHC
F6,,SAP,SMA
F6,,SME,SMA
F5,,SOT,SMA
F5,,SAL,SMA
F5,,SGU,SMA
F5,,SLM,SMA
F4,,SSA,SMA
F4,,SCR,SMA
F4,,STE,SMA
F4,,SGM,SMA
F4,,STL,SMA
F3,,SLI,SMA
F3,,SGE,SMA
F2,,SCC,SMA
F1,,SHC,SMA
F0,,SMA,SMA
F1,,SWA,SMA
F5,,SSI,SMA
F6,,SAN,SMA
F5,,SVA,SMA
F5,,SAR,SMA
F5,,SCM,SMA
F5,,SKO,SMA
F4,,STI,SMA
F4,,SAT,SMA
F4,,SAE,SMA
F4,,SSN,SMA
F4,,SPC,SMA
F3,,SKM,SMA
F3,,SNP,SMA
F2,,SEG,SMA
F5,,SMM,SMA
F6,,SAP,SWA
F6,,SME,SWA
F6,,SOT,SWA
F5,,SAL,SWA
F5,,SGU,SWA
F5,,SLM,SWA
F5,,SSA,SWA
F4,,SCR,SWA
F4,,STE,SWA
F4,,SGM,SWA
F4,,STL,SWA
F4,,SLI,SWA
F3,,SGE,SWA
F2,,SCC,SWA
F2,,SHC,SWA
F1,,SMA,SWA
